name;category;;
Fine Sand;BUILDING & FINISHING;;
Coarse Aggregate 20mm;BUILDING & FINISHING;;
Construction Gravel;BUILDING & FINISHING;;
Silicone Sealant;CONSUMABLES;;
Construction Adhesive;CONSUMABLES;;
Epoxy Primer;CONSUMABLES;;
Ready Mix Concrete C25;BUILDING & FINISHING;;
Portland Cement 42.5N;BUILDING & FINISHING;;
Portland Cement 52.5N;BUILDING & FINISHING;;
Plastering Cement;BUILDING & FINISHING;;
Contactor 25A;ELECTRICAL;;
Wall Socket 13A UK;ELECTRICAL;;
Double Wall Socket 13A UK;ELECTRICAL;;
Terminal Block 6mm²;ELECTRICAL;;
Electrical Cable 1.5mm² Single Core;ELECTRICAL;;
Electrical Cable 2.5mm² Single Core;ELECTRICAL;;
Electrical Cable 4mm² Single Core;ELECTRICAL;;
Electrical Cable 6mm² Single Core;ELECTRICAL;;
PVC Electrical Tape;CONSUMABLES;;
Distribution Board 12-Way;ELECTRICAL;;
MCB 1P 16A;ELECTRICAL;;
MCB 3P 32A;ELECTRICAL;;CIVIL & STRUCTURAL
Hex Bolt M8x40;ACCESSORY;;BUILDING & FINISHING
Hex Bolt M10x50;ACCESSORY;;PLUMBING & DRAINAGE
Hex Nut M10;ACCESSORY;;HVAC
Washer M10;ACCESSORY;;ELECTRICAL
Anchor Bolt M16;ACCESSORY;;FIRE FIGHTING & ALARM
Gypsum Board 12.5mm;BUILDING & FINISHING;;LOW CURRENT
Ceramic Floor Tile 60x60;BUILDING & FINISHING;;HAND TOOLS
Ceramic Wall Tile 30x60;FINISHING;;EQUIPMENT
"Hydraulic Hose 1/2""";ACCESSORY;;SAFETY & PPE
LED Panel Light 600x600 40W;ELECTRICAL;;CONSUMABLES
Hydraulic Oil ISO 46;CONSUMABLES;;ACCESSORY
Engine Oil 15W40;CONSUMABLES;;OTHER
Grease EP2;CONSUMABLES;;
Concrete Block 20cm;BUILDING & FINISHING;;
Concrete Block 15cm;BUILDING & FINISHING;;
Red Brick;BUILDING & FINISHING;;
Bearing 6204;ACCESSORY;;
Bearing 6205;ACCESSORY;;
V-Belt A-42;ACCESSORY;;
Acrylic Wall Paint White;BUILDING & FINISHING;;
Exterior Paint White;BUILDING & FINISHING;;
PVC Water Tank 1000L;PLUMBING & DRAINAGE;;
PVC Pipe 20mm;PLUMBING & DRAINAGE;;
PVC Pipe 32mm;PLUMBING & DRAINAGE;;
PVC Pipe 50mm;PLUMBING & DRAINAGE;;
PPR Pipe 25mm;PLUMBING & DRAINAGE;;
PVC Elbow 90° 25mm;PLUMBING & DRAINAGE;;
"Brass Ball Valve 1""";PLUMBING & DRAINAGE;;
Power Cable 4C x 16mm²;ELECTRICAL;;
Power Cable 4C x 35mm²;ELECTRICAL;;
Power Cable 4C x 70mm²;ELECTRICAL;;
Safety Shoes S1P;SAFETY & PPE;;
Safety Helmet;SAFETY & PPE;;
Safety Goggles;SAFETY & PPE;;
Reflective Safety Vest;SAFETY & PPE;;
Nitrile Work Gloves;SAFETY & PPE;;
Cut Resistant Gloves;SAFETY & PPE;;
Safety Harness;SAFETY & PPE;;
Ear Protection Plugs;SAFETY & PPE;;
Dust Mask FFP2;SAFETY & PPE;;
Rebar 8mm;BUILDING & FINISHING;;
Rebar 10mm;BUILDING & FINISHING;;
Rebar 12mm;BUILDING & FINISHING;;
Rebar 16mm;BUILDING & FINISHING;;
Rebar 20mm;BUILDING & FINISHING;;
Binding Wire;BUILDING & FINISHING;;
Steel Angle 50x50x5mm;BUILDING & FINISHING;;
Steel Channel 100mm;BUILDING & FINISHING;;
Steel Plate 6mm;BUILDING & FINISHING;;
Cutting Disc 115mm;ACCESSORY;;
Grinding Disc 115mm;ACCESSORY;;
Silica Sandpaper 120 Grit;CONSUMABLES;;
Waterproofing Membrane 4mm;ACCESSORY;;
Welding Electrode 3.2mm;CONSUMABLES;;
